题型,题号,核心考察知识点
阅读理解,1,阅读理解 - 细节理解题：考察原文因果逻辑细节定位、核心信息精准匹配，以及选项与原文的同义替换能力
阅读理解,2,阅读理解 - 细节理解题：考察多段落细节信息筛选比对、关键词定位，以及文本信息与题干需求的匹配能力
阅读理解,3,阅读理解 - 细节理解题：考察原文细节精准定位、选项干扰项排除，以及核心优势类信息的提炼匹配能力
阅读理解,4,阅读理解 - 细节理解题：考察原文原因类细节信息定位，以及干扰项的语义辨析与排除能力
阅读理解,5,阅读理解 - 词义猜测题：考察根据上下文语境猜测形容词词义，以及核心形容词的同义替换与语义辨析能力
阅读理解,6,阅读理解 - 推理判断题：考察段落核心信息提炼、文本深层含义推断，以及人物行为背后的情感与态度判断能力
阅读理解,7,阅读理解 - 主旨大意题（写作目的）：考察全文主旨概括能力，以及作者写作意图与篇章核心主题的匹配判断能力
阅读理解,8,阅读理解 - 篇章结构题：考察开篇段落的行文作用判断，以及例证手法的写作目的与篇章主题引入逻辑的理解能力
阅读理解,9,阅读理解 - 细节理解题：考察原文人物核心观点的定位，以及观点类信息的同义替换与语义理解能力
阅读理解,10,阅读理解 - 细节理解题：考察原文论据类信息定位，以及观点与对应论据的匹配关系理解能力
阅读理解,11,阅读理解 - 推理判断题：考察人物观点的精准理解与合理推断，以及文本细节的深层语义解读能力
阅读理解,12,阅读理解 - 细节理解题：考察原文因果逻辑与发明目的类细节定位，以及科技类文本核心信息的匹配能力
阅读理解,13,阅读理解 - 细节理解题：考察科技发明原理类细节定位，以及文本核心逻辑的理解与信息匹配能力
阅读理解,14,阅读理解 - 细节理解题：考察原文人物预期类细节定位，以及选项与原文的同义替换能力
阅读理解,15,阅读理解 - 推理判断题（文体来源）：考察文本体裁特征辨析，以及不同文体的语言、内容特点的判断能力
七选五,16,七选五 - 上下文逻辑衔接题：考察总分篇章结构的过渡句选择，承上启下的语义连贯与篇章逻辑把控能力
七选五,17,七选五 - 上下文语义衔接题：考察指代关系与举例逻辑，以及前文核心名词的解释说明类语句匹配能力
七选五,18,七选五 - 段落小标题匹配题：考察段落核心主旨提炼能力，以及小标题的句式特征与段落主题的一致性匹配能力
七选五,19,七选五 - 上下文语义衔接题：考察段落核心主题的顺承逻辑，主题词复现与语义匹配能力
七选五,20,七选五 - 上下文语义衔接题：考察动作行为的顺承逻辑，以及前文行为的结果与意义类语句的匹配能力
完形填空,21,完形填空 - 形容词词义辨析：考察上下文语境的形容词语义匹配，异国生活主题下的情感态度类词汇适配能力
完形填空,22,完形填空 - 名词词义辨析：考察上下文因果逻辑的名词语义匹配，文本语境与生活常识的结合能力
完形填空,23,完形填空 - 动词词义辨析：考察转折逻辑下的动词语义匹配，上下文语义转折的精准理解能力
完形填空,24,完形填空 - 动词词义辨析 + 固定搭配：考察固定短语 be drawn to 的用法，以及语境中的动词语义匹配能力
完形填空,25,完形填空 - 动词词义辨析：考察上下文语境的动作逻辑匹配，形容词情感倾向对应的动词选择能力
完形填空,26,完形填空 - 动词词义辨析：考察语境中的核心动词语义匹配，以及上下文情感共鸣逻辑的理解能力
完形填空,27,完形填空 - 名词词义辨析：考察人与动物相处的语境逻辑，以及名词语义的精准匹配能力
完形填空,28,完形填空 - 动词词义辨析：考察上下文同义复现逻辑，以及语境中的动词语义匹配能力
完形填空,29,完形填空 - 名词词义辨析：考察人与动物情感联结的主题语境，以及核心名词语义的匹配能力
完形填空,30,完形填空 - 名词词义辨析：考察照顾动物的行为语境，以及名词语义与文本逻辑的适配能力
完形填空,31,完形填空 - 名词词义辨析：考察上下文语义顺承逻辑，前文核心动作的同义替换与语义匹配能力
完形填空,32,完形填空 - 动词短语辨析：考察异国定居的主题语境，以及动词短语的语义辨析与适配能力
完形填空,33,完形填空 - 动词词义辨析 + 固定搭配：考察固定搭配 bridge the gap 的用法，以及语境中的动词语义匹配能力
完形填空,34,完形填空 - 形容词词义辨析：考察固定搭配 open heart，以及上下文语义的匹配能力
完形填空,35,完形填空 - 名词词义辨析：考察全文核心情感主题的提炼，以及名词语义与篇章主旨的适配能力
语法填空,36,语法填空 - 动词时态与主谓一致：考察一般现在时的第三人称单数形式，以及定语从句中谓语动词的单复数判断
语法填空,37,语法填空 - 非谓语动词：考察过去分词作状语，非谓语动词与逻辑主语的主被动关系判断，以及状语从句的省略规则
语法填空,38,语法填空 - 代词：考察不定代词的固定结构 some...others... 的用法
语法填空,39,语法填空 - 介词：考察固定动词短语 remind sb. of sth. 中的介词搭配
语法填空,40,语法填空 - 冠词：考察不定冠词 a 的泛指用法，以及可数名词单数的冠词搭配规则
语法填空,41,语法填空 - 非谓语动词：考察动词不定式作目的状语的用法
语法填空,42,语法填空 - 并列连词：考察上下文并列逻辑的判断，以及 and 在并列谓语中的用法
语法填空,43,语法填空 - 形容词比较级：考察语境中隐含的比较逻辑，以及形容词比较级的用法
语法填空,44,语法填空 - 副词：考察形容词变副词的规则，以及副词修饰形容词的用法
语法填空,45,语法填空 - 定语从句：考察非限制性定语从句中关系代词 which 的用法，先行词指物且从句作主语的规则